month,chocolate
2004-01,35
2004-02,48
2004-03,34
2004-04,33
2004-05,33
2004-06,30
2004-07,31
2004-08,29
2004-09,31
2004-10,33
2004-11,45
2004-12,70
2005-01,42
2005-02,52
2005-03,39
2005-04,36
2005-05,39
2005-06,36
2005-07,51
2005-08,38
2005-09,33
2005-10,38
2005-11,53
2005-12,64
2006-01,42
2006-02,50
2006-03,36
2006-04,36
2006-05,34
2006-06,30
2006-07,33
2006-08,49
2006-09,43
2006-10,43
2006-11,52
2006-12,77
2007-01,46
2007-02,57
2007-03,39
2007-04,41
2007-05,38
2007-06,37
2007-07,40
2007-08,43
2007-09,40
2007-10,41
2007-11,51
2007-12,74
2008-01,45
2008-02,51
2008-03,41
2008-04,41
2008-05,39
2008-06,37
2008-07,35
2008-08,37
2008-09,37
2008-10,43
2008-11,52
2008-12,70
2009-01,44
2009-02,54
2009-03,42
2009-04,42
2009-05,40
2009-06,39
2009-07,38
2009-08,39
2009-09,40
2009-10,44
2009-11,54
2009-12,73
2010-01,48
2010-02,55
2010-03,43
2010-04,42
2010-05,42
2010-06,39
2010-07,38
2010-08,37
2010-09,39
2010-10,42
2010-11,53
2010-12,71
2011-01,49
2011-02,62
2011-03,43
2011-04,46
2011-05,45
2011-06,41
2011-07,41
2011-08,40
2011-09,44
2011-10,49
2011-11,61
2011-12,84
2012-01,51
2012-02,63
2012-03,48
2012-04,48
2012-05,47
2012-06,45
2012-07,46
2012-08,44
2012-09,47
2012-10,49
2012-11,60
2012-12,85
2013-01,54
2013-02,66
2013-03,55
2013-04,48
2013-05,49
2013-06,48
2013-07,46
2013-08,47
2013-09,47
2013-10,51
2013-11,65
2013-12,85
2014-01,58
2014-02,66
2014-03,51
2014-04,49
2014-05,47
2014-06,43
2014-07,45
2014-08,45
2014-09,42
2014-10,48
2014-11,64
2014-12,79
2015-01,54
2015-02,65
2015-03,48
2015-04,46
2015-05,45
2015-06,43
2015-07,43
2015-08,45
2015-09,44
2015-10,51
2015-11,61
2015-12,80
2016-01,59
2016-02,65
2016-03,51
2016-04,48
2016-05,48
2016-06,42
2016-07,46
2016-08,43
2016-09,45
2016-10,50
2016-11,59
2016-12,88
2017-01,55
2017-02,65
2017-03,52
2017-04,51
2017-05,49
2017-06,45
2017-07,47
2017-08,45
2017-09,45
2017-10,51
2017-11,62
2017-12,89
2018-01,57
2018-02,65
2018-03,54
2018-04,49
2018-05,48
2018-06,45
2018-07,47
2018-08,44
2018-09,49
2018-10,52
2018-11,65
2018-12,90
2019-01,58
2019-02,69
2019-03,53
2019-04,50
2019-05,48
2019-06,46
2019-07,46
2019-08,47
2019-09,46
2019-10,50
2019-11,66
2019-12,82
2020-01,57
2020-02,67
2020-03,54
2020-04,73
2020-05,66
2020-06,51
2020-07,52
2020-08,50
2020-09,49
2020-10,58
2020-11,69
2020-12,100
2021-01,63
2021-02,76
2021-03,53
2021-04,49
2021-05,50
2021-06,46
2021-07,46
2021-08,45
2021-09,45
2021-10,44
2021-11,54
2021-12,74
